ID Calon Mahasiswa,NISN,NIK,Nama Calon Mahasiswa,Email,No Telepon,Agama,Alamat,Jenis Kelamin,Tempat Tanggal Lahir,Tahun Lulus,Asal Sekolah
CM000001,6881973699,3404356327295181,Yasmin Wardana,yasmin.wardana7685@gmail.com,082260480635,Buddha,"Jl. Cut Nyak Dien No.21, RT 15/RW 09, Sleman, DI Yogyakarta",Perempuan,"Sleman, 24/05/2006",2023,SMK Swasta Kartini Sleman
CM000002,2010276161,3403249065286303,Gita Firmansyah,gita.firmansyah7258@gmail.com,081986257029,Islam,"Jl. Ahmad Yani No.156, RT 14/RW 02, Gunung Kidul, DI Yogyakarta",Perempuan,"Gunung Kidul, 22/09/2007",2024,SMA Swasta 10 Gunung Kidul
CM000003,3415218409,3671053665666581,Irwan Handayani,irwan.handayani2970@gmail.com,089905673434,Islam,"Jl. MT. Haryono No.56, RT 08/RW 07, Tangerang, Banten",Laki-laki,"Tangerang, 26/08/2007",2025,MA Negeri 3 Tangerang
CM000004,2464692469,3376973653505432,Berlian Halim,berlian.halim4276@gmail.com,087863656018,Islam,"Jl. Merdeka No.134, RT 10/RW 03, Tegal, Jawa Tengah",Perempuan,"Tegal, 18/08/2007",2025,SMKN Pancasila Tegal
CM000005,9430141900,1801645899431662,Okta Wahyuningsih,okta.wahyuningsih4339@gmail.com,085252276682,Islam,"Jl. Veteran No.71, RT 15/RW 10, Lampung Selatan, Lampung",Laki-laki,"Lampung Selatan, 27/11/2005",2024,MAN 16 Lampung Selatan
CM000006,5715098409,9471564229060058,Julia Hartono,julia.hartono3768@gmail.com,085642706331,Islam,"Jl. Soekarno Hatta No.71, RT 12/RW 02, Jayapura, Papua",Perempuan,"Jayapura, 04/01/2006",2025,SMKN Cendekia Jayapura
CM000007,0862539992,3571505634212780,Vino Wibowo,vino.wibowo3787@gmail.com,083113979122,Islam,"Jl. Raya Utama No.65, RT 11/RW 10, Kediri, Jawa Timur",Laki-laki,"Kediri, 03/09/2008",2025,SMA Negeri Budi Utomo Kediri
CM000008,7610529555,3173064938204668,Intan Siregar,intan.siregar3733@gmail.com,081686033429,Islam,"Jl. Merdeka No.145, RT 01/RW 04, Jakarta Barat, DKI Jakarta",Perempuan,"Jakarta Barat, 04/05/2007",2025,SMK Negeri Gajah Mada Jakarta Barat
CM000009,0867129356,3401279158239731,Clara Halim,clara.halim7149@gmail.com,085832273242,Islam,"Jl. Tentara Pelajar No.140, RT 03/RW 04, Kulon Progo, DI Yogyakarta",Perempuan,"Kulon Progo, 21/01/2008",2025,SMK Swasta 22 Kulon Progo
CM000010,3100605304,1373244098435125,Zahra Hartono,zahra.hartono6378@gmail.com,081548437005,Islam,"Jl. Sultan Agung No.21, RT 13/RW 01, Solok, Sumatera Barat",Perempuan,"Solok, 16/06/2004",2023,MA Swasta Islam Terpadu Solok
CM000011,9410616157,3374686845514831,Sigit Hutapea,sigit.hutapea545@gmail.com,081845914499,Islam,"Jl. Hayam Wuruk No.171, RT 15/RW 09, Semarang, Jawa Tengah",Laki-laki,"Semarang, 11/04/2005",2022,SMA Negeri Al-Azhar Semarang
CM000012,5839814631,3173947759100912,Yusuf Hakim,yusuf.hakim6718@gmail.com,081769900153,Islam,"Jl. Panglima Besar No.28, RT 01/RW 07, Jakarta Barat, DKI Jakarta",Laki-laki,"Jakarta Barat, 14/08/2005",2024,MA Negeri 5 Jakarta Barat
CM000013,1148442410,3575914762497384,Jenny Wahyuningsih,jenny.wahyuningsih7339@gmail.com,081984274235,Islam,"Jl. Tentara Pelajar No.59, RT 20/RW 06, Madiun, Jawa Timur",Perempuan,"Madiun, 21/07/2007",2025,SMKN 18 Madiun
