ID Calon Mahasiswa,NISN,NIK,Nama Calon Mahasiswa,Email,No Telepon,Agama,Alamat,Jenis Kelamin,Tempat Tanggal Lahir,Tahun Lulus,Asal Sekolah
CM000011,9410616157,3374686845514831,Sigit Hutapea,sigit.hutapea545@gmail.com,81845914499,Islam,"Jl. Hayam Wuruk No.171, RT 15/RW 09, Semarang, Jawa Tengah",Laki-laki,"Semarang, 11/04/2005",2022,SMA Negeri Al-Azhar Semarang
CM000016,565939194,1272462224088842,Okta Hasan,okta.hasan4046@gmail.com,83888244661,Islam,"Jl. Raya Utama No.8, RT 16/RW 04, Pematangsiantar, Sumatera Utara",Perempuan,"Pematangsiantar, 04/11/2004",2022,SMAN Nusantara Pematangsiantar
CM000026,462590193,8171845227597255,Irfan Putranto,irfan.putranto3974@gmail.com,81744398917,Islam,"Jl. Ahmad Yani No.122, RT 09/RW 05, Ambon, Maluku",Laki-laki,"Ambon, 10/11/2006",2020,SMAN Gajah Mada Ambon
CM000041,5053463730,1275261375365863,Nurul Sudirman,nurul.sudirman2473@gmail.com,89920474193,Islam,"Jl. Panglima Besar No.196, RT 01/RW 09, Medan, Sumatera Utara",Laki-laki,"Medan, 17/01/2005",2022,SMK Swasta 24 Medan
CM000042,8716395571,8172125507753637,Hadi Wardana,hadi.wardana6869@gmail.com,83114812119,Islam,"Jl. MT. Haryono No.157, RT 12/RW 01, Tual, Maluku",Laki-laki,"Tual, 24/12/2005",2022,MA Swasta 17 Tual
CM000064,8290520406,5108870585678556,Dani Lestari,dani.lestari2490@gmail.com,87771190077,Islam,"Jl. Teuku Umar No.96, RT 02/RW 02, Karangasem, Bali",Laki-laki,"Karangasem, 24/07/2005",2022,SMK Swasta Muhammadiyah Karangasem
CM000067,7119043459,1273189890556050,Zahra Septiani,zahra.septiani7783@gmail.com,85365494129,Islam,"Jl. Soekarno Hatta No.137, RT 13/RW 05, Binjai, Sumatera Utara",Perempuan,"Binjai, 17/08/2005",2022,MA Swasta 3 Binjai
CM000076,8683743706,3404420470724469,Aldi Wardana,aldi.wardana1743@gmail.com,89580894570,Islam,"Jl. Teuku Umar No.179, RT 16/RW 08, Sleman, DI Yogyakarta",Laki-laki,"Sleman, 17/06/2003",2022,MA Negeri 7 Sleman
CM000077,1092368731,1801054013246559,Dina Sinaga,dina.sinaga4712@gmail.com,85228716422,Islam,"Jl. RE. Martadinata No.84, RT 01/RW 07, Lampung Selatan, Lampung",Perempuan,"Lampung Selatan, 23/05/2003",2022,SMKN Muhammadiyah Lampung Selatan
CM000082,9785133650,5271204347678917,Hafiz Maulana,hafiz.maulana7154@gmail.com,85727735249,Kristen,"Jl. Soekarno Hatta No.85, RT 08/RW 09, Mataram, Nusa Tenggara Barat",Laki-laki,"Mataram, 12/02/2003",2022,MAN Islam Terpadu Mataram
CM000084,1531544372,6472568927204394,Yasmin Firmansyah,yasmin.firmansyah9444@gmail.com,87723903234,Islam,"Jl. Pahlawan No.165, RT 18/RW 09, Balikpapan, Kalimantan Timur",Perempuan,"Balikpapan, 24/10/2004",2022,MAN 23 Balikpapan
